,PassengerId,Pclass,Age,SibSp,Parch,Fare,MaleCheck,Embarked_C,Embarked_Q,Embarked_S
0,892,3,34.5,0,0,7.8292,1,0,1,0
1,893,3,47.0,1,0,7.0,0,0,0,1
2,894,2,62.0,0,0,9.6875,1,0,1,0
3,895,3,27.0,0,0,8.6625,1,0,0,1
4,896,3,22.0,1,1,12.2875,0,0,0,1
5,897,3,14.0,0,0,9.225,1,0,0,1
6,898,3,30.0,0,0,7.6292,0,0,1,0
7,899,2,26.0,1,1,29.0,1,0,0,1
8,900,3,18.0,0,0,7.2292,0,1,0,0
9,901,3,21.0,2,0,24.15,1,0,0,1
10,902,3,27.0,0,0,7.8958,1,0,0,1
11,903,1,46.0,0,0,26.0,1,0,0,1
12,904,1,23.0,1,0,82.2667,0,0,0,1
13,905,2,63.0,1,0,26.0,1,0,0,1
14,906,1,47.0,1,0,61.175,0,0,0,1
15,907,2,24.0,1,0,27.7208,0,1,0,0
16,908,2,35.0,0,0,12.35,1,0,1,0
17,909,3,21.0,0,0,7.225,1,1,0,0
18,910,3,27.0,1,0,7.925,0,0,0,1
19,911,3,45.0,0,0,7.225,0,1,0,0
20,912,1,55.0,1,0,59.4,1,1,0,0
21,913,3,9.0,0,1,3.1708,1,0,0,1
22,914,1,27.0,0,0,31.6833,0,0,0,1
23,915,1,21.0,0,1,61.3792,1,1,0,0
24,916,1,48.0,1,3,262.375,0,1,0,0
25,917,3,50.0,1,0,14.5,1,0,0,1
26,918,1,22.0,0,1,61.9792,0,1,0,0
27,919,3,22.5,0,0,7.225,1,1,0,0
28,920,1,41.0,0,0,30.5,1,0,0,1
29,921,3,27.0,2,0,21.6792,1,1,0,0
30,922,2,50.0,1,0,26.0,1,0,0,1
31,923,2,24.0,2,0,31.5,1,0,0,1
32,924,3,33.0,1,2,20.575,0,0,0,1
33,925,3,27.0,1,2,23.45,0,0,0,1
34,926,1,30.0,1,0,57.75,1,1,0,0
35,927,3,18.5,0,0,7.2292,1,1,0,0
36,928,3,27.0,0,0,8.05,0,0,0,1
37,929,3,21.0,0,0,8.6625,0,0,0,1
38,930,3,25.0,0,0,9.5,1,0,0,1
39,931,3,27.0,0,0,56.4958,1,0,0,1
40,932,3,39.0,0,1,13.4167,1,1,0,0
41,933,1,27.0,0,0,26.55,1,0,0,1
42,934,3,41.0,0,0,7.85,1,0,0,1
43,935,2,30.0,0,0,13.0,0,0,0,1
44,936,1,45.0,1,0,52.5542,0,0,0,1
45,937,3,25.0,0,0,7.925,1,0,0,1
46,938,1,45.0,0,0,29.7,1,1,0,0
47,939,3,27.0,0,0,7.75,1,0,1,0
48,940,1,60.0,0,0,76.2917,0,1,0,0
49,941,3,36.0,0,2,15.9,0,0,0,1
50,942,1,24.0,1,0,60.0,1,0,0,1
51,943,2,27.0,0,0,15.0333,1,1,0,0
52,944,2,20.0,2,1,23.0,0,0,0,1
53,945,1,28.0,3,2,263.0,0,0,0,1
54,946,2,27.0,0,0,15.5792,1,1,0,0
55,947,3,10.0,4,1,29.125,1,0,1,0
56,948,3,35.0,0,0,7.8958,1,0,0,1
57,949,3,25.0,0,0,7.65,1,0,0,1
58,950,3,27.0,1,0,16.1,1,0,0,1
59,951,1,36.0,0,0,262.375,0,1,0,0
60,952,3,17.0,0,0,7.8958,1,0,0,1
61,953,2,32.0,0,0,13.5,1,0,0,1
62,954,3,18.0,0,0,7.75,1,0,0,1
63,955,3,22.0,0,0,7.725,0,0,1,0
64,956,1,13.0,2,2,262.375,1,1,0,0
65,957,2,27.0,0,0,21.0,0,0,0,1
66,958,3,18.0,0,0,7.8792,0,0,1,0
67,959,1,47.0,0,0,42.4,1,0,0,1
68,960,1,31.0,0,0,28.5375,1,1,0,0
69,961,1,60.0,1,4,263.0,0,0,0,1
70,962,3,24.0,0,0,7.75,0,0,1,0
71,963,3,21.0,0,0,7.8958,1,0,0,1
72,964,3,29.0,0,0,7.925,0,0,0,1
73,965,1,28.5,0,0,27.7208,1,1,0,0
74,966,1,35.0,0,0,211.5,0,1,0,0
75,967,1,32.5,0,0,211.5,1,1,0,0
76,968,3,27.0,0,0,8.05,1,0,0,1
77,969,1,55.0,2,0,25.7,0,0,0,1
78,970,2,30.0,0,0,13.0,1,0,0,1
79,971,3,24.0,0,0,7.75,0,0,1,0
80,972,3,6.0,1,1,15.2458,1,1,0,0
81,973,1,67.0,1,0,221.7792,1,0,0,1
82,974,1,49.0,0,0,26.0,1,0,0,1
83,975,3,27.0,0,0,7.8958,1,0,0,1
84,976,2,27.0,0,0,10.7083,1,0,1,0
85,977,3,27.0,1,0,14.4542,1,1,0,0
86,978,3,27.0,0,0,7.8792,0,0,1,0
87,979,3,18.0,0,0,8.05,0,0,0,1
88,980,3,27.0,0,0,7.75,0,0,1,0
89,981,2,2.0,1,1,23.0,1,0,0,1
90,982,3,22.0,1,0,13.9,0,0,0,1
91,983,3,27.0,0,0,7.775,1,0,0,1
92,984,1,27.0,1,2,52.0,0,0,0,1
93,985,3,27.0,0,0,8.05,1,0,0,1
94,986,1,25.0,0,0,26.0,1,1,0,0
95,987,3,25.0,0,0,7.7958,1,0,0,1
96,988,1,76.0,1,0,78.85,0,0,0,1
97,989,3,29.0,0,0,7.925,1,0,0,1
98,990,3,20.0,0,0,7.8542,0,0,0,1
99,991,3,33.0,0,0,8.05,1,0,0,1
100,992,1,43.0,1,0,55.4417,0,1,0,0
101,993,2,27.0,1,0,26.0,1,0,0,1
102,994,3,27.0,0,0,7.75,1,0,1,0
103,995,3,26.0,0,0,7.775,1,0,0,1
104,996,3,16.0,1,1,8.5167,0,1,0,0
105,997,3,28.0,0,0,22.525,1,0,0,1
106,998,3,21.0,0,0,7.8208,1,0,1,0
107,999,3,27.0,0,0,7.75,1,0,1,0
108,1000,3,27.0,0,0,8.7125,1,0,0,1
109,1001,2,18.5,0,0,13.0,1,0,0,1
110,1002,2,41.0,0,0,15.0458,1,1,0,0
111,1003,3,27.0,0,0,7.7792,0,0,1,0
112,1004,1,36.0,0,0,31.6792,0,1,0,0
113,1005,3,18.5,0,0,7.2833,0,0,1,0
114,1006,1,63.0,1,0,221.7792,0,0,0,1
115,1007,3,18.0,1,0,14.4542,1,1,0,0
116,1008,3,27.0,0,0,6.4375,1,1,0,0
117,1009,3,1.0,1,1,16.7,0,0,0,1
118,1010,1,36.0,0,0,75.2417,1,1,0,0
119,1011,2,29.0,1,0,26.0,0,0,0,1
120,1012,2,12.0,0,0,15.75,0,0,0,1
121,1013,3,27.0,1,0,7.75,1,0,1,0
122,1014,1,35.0,1,0,57.75,0,1,0,0
123,1015,3,28.0,0,0,7.25,1,0,0,1
124,1016,3,27.0,0,0,7.75,1,0,1,0
125,1017,3,17.0,0,1,16.1,0,0,0,1
126,1018,3,22.0,0,0,7.7958,1,0,0,1
127,1019,3,27.0,2,0,23.25,0,0,1,0
128,1020,2,42.0,0,0,13.0,1,0,0,1
129,1021,3,24.0,0,0,8.05,1,0,0,1
130,1022,3,32.0,0,0,8.05,1,0,0,1
131,1023,1,53.0,0,0,28.5,1,1,0,0
132,1024,3,27.0,0,4,25.4667,0,0,0,1
133,1025,3,27.0,1,0,6.4375,1,1,0,0
134,1026,3,43.0,0,0,7.8958,1,0,0,1
135,1027,3,24.0,0,0,7.8542,1,0,0,1
136,1028,3,26.5,0,0,7.225,1,1,0,0
137,1029,2,26.0,0,0,13.0,1,0,0,1
138,1030,3,23.0,0,0,8.05,0,0,0,1
139,1031,3,40.0,1,6,46.9,1,0,0,1
140,1032,3,10.0,5,2,46.9,0,0,0,1
141,1033,1,33.0,0,0,151.55,0,0,0,1
142,1034,1,61.0,1,3,262.375,1,1,0,0
143,1035,2,28.0,0,0,26.0,1,0,0,1
144,1036,1,42.0,0,0,26.55,1,0,0,1
145,1037,3,31.0,3,0,18.0,1,0,0,1
146,1038,1,27.0,0,0,51.8625,1,0,0,1
147,1039,3,22.0,0,0,8.05,1,0,0,1
148,1040,1,27.0,0,0,26.55,1,0,0,1
149,1041,2,30.0,1,1,26.0,1,0,0,1
150,1042,1,23.0,0,1,83.1583,0,1,0,0
151,1043,3,27.0,0,0,7.8958,1,1,0,0
152,1044,3,60.5,0,0,14.4542,1,0,0,1
153,1045,3,36.0,0,2,12.1833,0,0,0,1
154,1046,3,13.0,4,2,31.3875,1,0,0,1
155,1047,3,24.0,0,0,7.55,1,0,0,1
156,1048,1,29.0,0,0,221.7792,0,0,0,1
157,1049,3,23.0,0,0,7.8542,0,0,0,1
158,1050,1,42.0,0,0,26.55,1,0,0,1
159,1051,3,26.0,0,2,13.775,0,0,0,1
160,1052,3,27.0,0,0,7.7333,0,0,1,0
161,1053,3,7.0,1,1,15.2458,1,1,0,0
162,1054,2,26.0,0,0,13.5,0,0,0,1
163,1055,3,27.0,0,0,7.0,1,0,0,1
164,1056,2,41.0,0,0,13.0,1,0,0,1
165,1057,3,26.0,1,1,22.025,0,0,0,1
166,1058,1,48.0,0,0,50.4958,1,1,0,0
167,1059,3,18.0,2,2,34.375,1,0,0,1
168,1060,1,27.0,0,0,27.7208,0,1,0,0
169,1061,3,22.0,0,0,8.9625,0,0,0,1
170,1062,3,27.0,0,0,7.55,1,0,0,1
171,1063,3,27.0,0,0,7.225,1,1,0,0
172,1064,3,23.0,1,0,13.9,1,0,0,1
173,1065,3,27.0,0,0,7.2292,1,1,0,0
174,1066,3,40.0,1,5,31.3875,1,0,0,1
175,1067,2,15.0,0,2,39.0,0,0,0,1
176,1068,2,20.0,0,0,36.75,0,0,0,1
177,1069,1,54.0,1,0,55.4417,1,1,0,0
178,1070,2,36.0,0,3,39.0,0,0,0,1
179,1071,1,64.0,0,2,83.1583,0,1,0,0
180,1072,2,30.0,0,0,13.0,1,0,0,1
181,1073,1,37.0,1,1,83.1583,1,1,0,0
182,1074,1,18.0,1,0,53.1,0,0,0,1
183,1075,3,27.0,0,0,7.75,1,0,1,0
184,1076,1,27.0,1,1,247.5208,0,1,0,0
185,1077,2,40.0,0,0,16.0,1,0,0,1
186,1078,2,21.0,0,1,21.0,0,0,0,1
187,1079,3,17.0,2,0,8.05,1,0,0,1
188,1080,3,27.0,8,2,69.55,0,0,0,1
189,1081,2,40.0,0,0,13.0,1,0,0,1
190,1082,2,34.0,1,0,26.0,1,0,0,1
191,1083,1,27.0,0,0,26.0,1,0,0,1
192,1084,3,11.5,1,1,14.5,1,0,0,1
193,1085,2,61.0,0,0,12.35,1,0,1,0
194,1086,2,8.0,0,2,32.5,1,0,0,1
195,1087,3,33.0,0,0,7.8542,1,0,0,1
196,1088,1,6.0,0,2,134.5,1,1,0,0
197,1089,3,18.0,0,0,7.775,0,0,0,1
198,1090,2,23.0,0,0,10.5,1,0,0,1
199,1091,3,27.0,0,0,8.1125,0,0,0,1
200,1092,3,27.0,0,0,15.5,0,0,1,0
201,1093,3,0.33,0,2,14.4,1,0,0,1
202,1094,1,47.0,1,0,227.525,1,1,0,0
203,1095,2,8.0,1,1,26.0,0,0,0,1
204,1096,2,25.0,0,0,10.5,1,0,0,1
205,1097,1,27.0,0,0,25.7417,1,1,0,0
206,1098,3,35.0,0,0,7.75,0,0,1,0
207,1099,2,24.0,0,0,10.5,1,0,0,1
208,1100,1,33.0,0,0,27.7208,0,1,0,0
209,1101,3,25.0,0,0,7.8958,1,0,0,1
210,1102,3,32.0,0,0,22.525,1,0,0,1
211,1103,3,27.0,0,0,7.05,1,0,0,1
212,1104,2,17.0,0,0,73.5,1,0,0,1
213,1105,2,60.0,1,0,26.0,0,0,0,1
214,1106,3,38.0,4,2,7.775,0,0,0,1
215,1107,1,42.0,0,0,42.5,1,0,0,1
216,1108,3,27.0,0,0,7.8792,0,0,1,0
217,1109,1,57.0,1,1,164.8667,1,0,0,1
218,1110,1,50.0,1,1,211.5,0,1,0,0
219,1111,3,27.0,0,0,8.05,1,0,0,1
220,1112,2,30.0,1,0,13.8583,0,1,0,0
221,1113,3,21.0,0,0,8.05,1,0,0,1
222,1114,2,22.0,0,0,10.5,0,0,0,1
223,1115,3,21.0,0,0,7.7958,1,0,0,1
224,1116,1,53.0,0,0,27.4458,0,1,0,0
225,1117,3,27.0,0,2,15.2458,0,1,0,0
226,1118,3,23.0,0,0,7.7958,1,0,0,1
227,1119,3,27.0,0,0,7.75,0,0,1,0
228,1120,3,40.5,0,0,15.1,1,0,0,1
229,1121,2,36.0,0,0,13.0,1,0,0,1
230,1122,2,14.0,0,0,65.0,1,0,0,1
231,1123,1,21.0,0,0,26.55,0,0,0,1
232,1124,3,21.0,1,0,6.4958,1,0,0,1
233,1125,3,27.0,0,0,7.8792,1,0,1,0
234,1126,1,39.0,1,0,71.2833,1,1,0,0
235,1127,3,20.0,0,0,7.8542,1,0,0,1
236,1128,1,64.0,1,0,75.25,1,1,0,0
237,1129,3,20.0,0,0,7.225,1,1,0,0
238,1130,2,18.0,1,1,13.0,0,0,0,1
239,1131,1,48.0,1,0,106.425,0,1,0,0
240,1132,1,55.0,0,0,27.7208,0,1,0,0
241,1133,2,45.0,0,2,30.0,0,0,0,1
242,1134,1,45.0,1,1,134.5,1,1,0,0
243,1135,3,27.0,0,0,7.8875,1,0,0,1
244,1136,3,27.0,1,2,23.45,1,0,0,1
245,1137,1,41.0,1,0,51.8625,1,0,0,1
246,1138,2,22.0,0,0,21.0,0,0,0,1
247,1139,2,42.0,1,1,32.5,1,0,0,1
248,1140,2,29.0,1,0,26.0,0,0,0,1
249,1141,3,27.0,1,0,14.4542,0,1,0,0
250,1142,2,0.92,1,2,27.75,0,0,0,1
251,1143,3,20.0,0,0,7.925,1,0,0,1
252,1144,1,27.0,1,0,136.7792,1,1,0,0
253,1145,3,24.0,0,0,9.325,1,0,0,1
254,1146,3,32.5,0,0,9.5,1,0,0,1
255,1147,3,27.0,0,0,7.55,1,0,0,1
256,1148,3,27.0,0,0,7.75,1,0,1,0
257,1149,3,28.0,0,0,8.05,1,0,0,1
258,1150,2,19.0,0,0,13.0,0,0,0,1
259,1151,3,21.0,0,0,7.775,1,0,0,1
260,1152,3,36.5,1,0,17.4,1,0,0,1
261,1153,3,21.0,0,0,7.8542,1,0,0,1
262,1154,2,29.0,0,2,23.0,0,0,0,1
263,1155,3,1.0,1,1,12.1833,0,0,0,1
264,1156,2,30.0,0,0,12.7375,1,1,0,0
265,1157,3,27.0,0,0,7.8958,1,0,0,1
266,1158,1,27.0,0,0,0.0,1,0,0,1
267,1159,3,27.0,0,0,7.55,1,0,0,1
268,1160,3,27.0,0,0,8.05,0,0,0,1
269,1161,3,17.0,0,0,8.6625,1,0,0,1
270,1162,1,46.0,0,0,75.2417,1,1,0,0
271,1163,3,27.0,0,0,7.75,1,0,1,0
272,1164,1,26.0,1,0,136.7792,0,1,0,0
273,1165,3,27.0,1,0,15.5,0,0,1,0
274,1166,3,27.0,0,0,7.225,1,1,0,0
275,1167,2,20.0,1,0,26.0,0,0,0,1
276,1168,2,28.0,0,0,10.5,1,0,0,1
277,1169,2,40.0,1,0,26.0,1,0,0,1
278,1170,2,30.0,1,0,21.0,1,0,0,1
279,1171,2,22.0,0,0,10.5,1,0,0,1
280,1172,3,23.0,0,0,8.6625,0,0,0,1
281,1173,3,0.75,1,1,13.775,1,0,0,1
282,1174,3,27.0,0,0,7.75,0,0,1,0
283,1175,3,9.0,1,1,15.2458,0,1,0,0
284,1176,3,2.0,1,1,20.2125,0,0,0,1
285,1177,3,36.0,0,0,7.25,1,0,0,1
286,1178,3,27.0,0,0,7.25,1,0,0,1
287,1179,1,24.0,1,0,82.2667,1,0,0,1
288,1180,3,27.0,0,0,7.2292,1,1,0,0
289,1181,3,27.0,0,0,8.05,1,0,0,1
290,1182,1,27.0,0,0,39.6,1,0,0,1
291,1183,3,30.0,0,0,6.95,0,0,1,0
292,1184,3,27.0,0,0,7.2292,1,1,0,0
293,1185,1,53.0,1,1,81.8583,1,0,0,1
294,1186,3,36.0,0,0,9.5,1,0,0,1
295,1187,3,26.0,0,0,7.8958,1,0,0,1
296,1188,2,1.0,1,2,41.5792,0,1,0,0
297,1189,3,27.0,2,0,21.6792,1,1,0,0
298,1190,1,30.0,0,0,45.5,1,0,0,1
299,1191,3,29.0,0,0,7.8542,1,0,0,1
300,1192,3,32.0,0,0,7.775,1,0,0,1
301,1193,2,27.0,0,0,15.0458,1,1,0,0
302,1194,2,43.0,0,1,21.0,1,0,0,1
303,1195,3,24.0,0,0,8.6625,1,0,0,1
304,1196,3,27.0,0,0,7.75,0,0,1,0
305,1197,1,64.0,1,1,26.55,0,0,0,1
306,1198,1,30.0,1,2,151.55,1,0,0,1
307,1199,3,0.83,0,1,9.35,1,0,0,1
308,1200,1,55.0,1,1,93.5,1,0,0,1
309,1201,3,45.0,1,0,14.1083,0,0,0,1
310,1202,3,18.0,0,0,8.6625,1,0,0,1
311,1203,3,22.0,0,0,7.225,1,1,0,0
312,1204,3,27.0,0,0,7.575,1,0,0,1
313,1205,3,37.0,0,0,7.75,0,0,1,0
314,1206,1,55.0,0,0,135.6333,0,1,0,0
315,1207,3,17.0,0,0,7.7333,0,0,1,0
316,1208,1,57.0,1,0,146.5208,1,1,0,0
317,1209,2,19.0,0,0,10.5,1,0,0,1
318,1210,3,27.0,0,0,7.8542,1,0,0,1
319,1211,2,22.0,2,0,31.5,1,0,0,1
320,1212,3,26.0,0,0,7.775,1,0,0,1
321,1213,3,25.0,0,0,7.2292,1,1,0,0
322,1214,2,26.0,0,0,13.0,1,0,0,1
323,1215,1,33.0,0,0,26.55,1,0,0,1
324,1216,1,39.0,0,0,211.3375,0,0,0,1
325,1217,3,23.0,0,0,7.05,1,0,0,1
326,1218,2,12.0,2,1,39.0,0,0,0,1
327,1219,1,46.0,0,0,79.2,1,1,0,0
328,1220,2,29.0,1,0,26.0,1,0,0,1
329,1221,2,21.0,0,0,13.0,1,0,0,1
330,1222,2,48.0,0,2,36.75,0,0,0,1
331,1223,1,39.0,0,0,29.7,1,1,0,0
332,1224,3,27.0,0,0,7.225,1,1,0,0
333,1225,3,19.0,1,1,15.7417,0,1,0,0
334,1226,3,27.0,0,0,7.8958,1,0,0,1
335,1227,1,30.0,0,0,26.0,1,0,0,1
336,1228,2,32.0,0,0,13.0,1,0,0,1
337,1229,3,39.0,0,2,7.2292,1,1,0,0
338,1230,2,25.0,0,0,31.5,1,0,0,1
339,1231,3,27.0,0,0,7.2292,1,1,0,0
340,1232,2,18.0,0,0,10.5,1,0,0,1
341,1233,3,32.0,0,0,7.5792,1,0,0,1
342,1234,3,27.0,1,9,69.55,1,0,0,1
343,1235,1,58.0,0,1,512.3292,0,1,0,0
344,1236,3,27.0,1,1,14.5,1,0,0,1
345,1237,3,16.0,0,0,7.65,0,0,0,1
346,1238,2,26.0,0,0,13.0,1,0,0,1
347,1239,3,38.0,0,0,7.2292,0,1,0,0
348,1240,2,24.0,0,0,13.5,1,0,0,1
349,1241,2,31.0,0,0,21.0,0,0,0,1
350,1242,1,45.0,0,1,63.3583,0,1,0,0
351,1243,2,25.0,0,0,10.5,1,0,0,1
352,1244,2,18.0,0,0,73.5,1,0,0,1
353,1245,2,49.0,1,2,65.0,1,0,0,1
354,1246,3,0.17,1,2,20.575,0,0,0,1
355,1247,1,50.0,0,0,26.0,1,0,0,1
356,1248,1,59.0,2,0,51.4792,0,0,0,1
357,1249,3,27.0,0,0,7.8792,1,0,0,1
358,1250,3,27.0,0,0,7.75,1,0,1,0
359,1251,3,30.0,1,0,15.55,0,0,0,1
360,1252,3,14.5,8,2,69.55,1,0,0,1
361,1253,2,24.0,1,1,37.0042,0,1,0,0
362,1254,2,31.0,0,0,21.0,0,0,0,1
363,1255,3,27.0,0,0,8.6625,1,0,0,1
364,1256,1,25.0,1,0,55.4417,0,1,0,0
365,1257,3,27.0,1,9,69.55,0,0,0,1
366,1258,3,27.0,1,0,14.4583,1,1,0,0
367,1259,3,22.0,0,0,39.6875,0,0,0,1
368,1260,1,45.0,0,1,59.4,0,1,0,0
369,1261,2,29.0,0,0,13.8583,1,1,0,0
370,1262,2,21.0,1,0,11.5,1,0,0,1
371,1263,1,31.0,0,0,134.5,0,1,0,0
372,1264,1,49.0,0,0,0.0,1,0,0,1
373,1265,2,44.0,0,0,13.0,1,0,0,1
374,1266,1,54.0,1,1,81.8583,0,0,0,1
375,1267,1,45.0,0,0,262.375,0,1,0,0
376,1268,3,22.0,2,0,8.6625,0,0,0,1
377,1269,2,21.0,0,0,11.5,1,0,0,1
378,1270,1,55.0,0,0,50.0,1,0,0,1
379,1271,3,5.0,4,2,31.3875,1,0,0,1
380,1272,3,27.0,0,0,7.75,1,0,1,0
381,1273,3,26.0,0,0,7.8792,1,0,1,0
382,1274,3,27.0,0,0,14.5,0,0,0,1
383,1275,3,19.0,1,0,16.1,0,0,0,1
384,1276,2,27.0,0,0,12.875,1,0,0,1
385,1277,2,24.0,1,2,65.0,0,0,0,1
386,1278,3,24.0,0,0,7.775,1,0,0,1
387,1279,2,57.0,0,0,13.0,1,0,0,1
388,1280,3,21.0,0,0,7.75,1,0,1,0
389,1281,3,6.0,3,1,21.075,1,0,0,1
390,1282,1,23.0,0,0,93.5,1,0,0,1
391,1283,1,51.0,0,1,39.4,0,0,0,1
392,1284,3,13.0,0,2,20.25,1,0,0,1
393,1285,2,47.0,0,0,10.5,1,0,0,1
394,1286,3,29.0,3,1,22.025,1,0,0,1
395,1287,1,18.0,1,0,60.0,0,0,0,1
396,1288,3,24.0,0,0,7.25,1,0,1,0
397,1289,1,48.0,1,1,79.2,0,1,0,0
398,1290,3,22.0,0,0,7.775,1,0,0,1
399,1291,3,31.0,0,0,7.7333,1,0,1,0
400,1292,1,30.0,0,0,164.8667,0,0,0,1
401,1293,2,38.0,1,0,21.0,1,0,0,1
402,1294,1,22.0,0,1,59.4,0,1,0,0
403,1295,1,17.0,0,0,47.1,1,0,0,1
404,1296,1,43.0,1,0,27.7208,1,1,0,0
405,1297,2,20.0,0,0,13.8625,1,1,0,0
406,1298,2,23.0,1,0,10.5,1,0,0,1
407,1299,1,50.0,1,1,211.5,1,1,0,0
408,1300,3,27.0,0,0,7.7208,0,0,1,0
409,1301,3,3.0,1,1,13.775,0,0,0,1
410,1302,3,27.0,0,0,7.75,0,0,1,0
411,1303,1,37.0,1,0,90.0,0,0,1,0
412,1304,3,28.0,0,0,7.775,0,0,0,1
413,1305,3,27.0,0,0,8.05,1,0,0,1
414,1306,1,39.0,0,0,108.9,0,1,0,0
415,1307,3,38.5,0,0,7.25,1,0,0,1
416,1308,3,27.0,0,0,8.05,1,0,0,1
417,1309,3,27.0,1,1,22.3583,1,1,0,0
